ID	Year	Title	Description	Inventor	Location	Dependencies	Field	URL	
saturn-rings	1675	Saturn's multiple rings	Cassini observed a dark line separating inner and outer ring. Known as "cassini's division"	Gian Domenico Cassini	Italy	reflecting-telescope	Space		
microorganisms	1676	Microorganisms	Used small single lenses ground expertly to produce 200x magnification. Observed "animalcules" in pond water. Also first detected spermatazoa in semen.	Antoni van Leeuwenhoek	Netherlands	microscope	Science		
southern-stars	1678	Southern stars	First systematic observations of southern skies. Southern sky was never visible to Europeans. Halley traveled to St. Helena in south Atlantic, returned with a catalog of 341 southern stars.	Edmond Halley	England	reflecting-telescope, india-water-route	Space		
light-as-wave	1678	Light as wave	Light: particle or wave controversy grew sharper. Newton couldn't see how light was a wave (there is nothing to wave), Huygens thought light traveled through an aether.	Christian Huygens	Netherlands	optics	Science		
pressure-cooker	1679	Pressure cookers	First useful application of steam. Tightly fitted lid increased boiling point of water to cook meat faster.	Denis Papin	France	basic-steam-engine	Science		
muscles-bones	1680	Human kinetics	Mechanical model for human kinetics. Modeled human bone and muscle as a system of levers, applying the same laws of physics to our body.	Giovanni Alfonso Borelli	Italy	lever-math	Science		
dodo-extinction	1681	Dodo extinct	Dodo became first anthrogenic extinction. Mauritius had many species that evolved in isolation and were different from elsewhere. Dodo had no natural predators until the Dutch came and gradually killed them all.		Netherlands	india-water-route	Science		
plant-sexuality	1682	Plant sexuality	Some plants shown to reproduce sexually, sexual plant organs, that plant pollen is equivalent to animal sperm. Previously, plants were assumed to be semi-alive (eg. in Genesis, they appear alongside dry land)	Neremiah Grew	England	botany	Science		
bacteria	1683	Bacteria	Continuing to rely on his excellent lenses, saw even smaller organisms than "animalcules", which in retrospect turned out to be bacteria.	Antoni van Leeuwenhoek	Netherlands	microorganisms	Science		
earth-size-accurate	1684	Earth size accurate	Improvement over Eratosthenes' estimate based on distance of a star from zenith at different places using the help of telescopes. Estimate for radius was 3950 miles (actual 3,958.8)	Jean Picard	France	reflecting-telescope	Space		
imaginary-numbers	1685	Complex numbers	First used the complex plane to represent i=sqrt(-1).	John Wallis	England	negative-numbers	Math		
meteorological-map	1686	Trade winds mapped	First world map showing consistent winds. Seasonal winds called monsoons come from the arabic word meaning "season". These and steady winds were never documented before. Halley hinted at sun-heated air but didn't understand reason for westward flow at the equator.	Edmond Halley	England	world-maps, climactic-zone	Geography		
plant-species-classified	1686	Plant species classified	Published a volume classifying 18600 different plant species, including a pretty good taxonomy.	John Ray	England	animal-classification	Science		
laws-motion	1687	Laws of motion	Since Kepler discovered eliptical orbits, many scientists tried to understand the underlying laws. Eventually Newton published Principia, widely considered greatest science book ever written. Included three laws of motion.	Isaac Newton	England	elliptical-orbits	Science		
universal-gravitation	1687	Universal graviation	Formulation of the force of gravity between any two bodies (that F=G m1 m2 / d^2) explained bodies in known universe.	Isaac Newton	England	laws-motion	Science		
shape-of-earth	1687	Non-spherical earth	Earth shape suggested as oblate spheroid. When Richer traveled to Cayenne to determine Mars parallax, found pendelum beats slower there than in Paris. Newton suggested that this was due to difference in gravity at equator vs. at poles. This would mean earth would bulge.	Isaac Newton	England	universal-gravitation	Science		
plate-glass	1688	Plate glass	Techniques for making glass without blowing. Clear glass was a luxury until in France, large sheets of glass were made for mirrors and windows, and went into widespread use.		France	glass-blowing	General		
animal-classification-improved	1691	Improved animal classifications	Classified animals logistically based on hooves, toes, and teeth.	John Ray	England	animal-classification	Science		
calculating-machines	1693	Calculating machines	Built the Step Reckoner, a mechanical aid to calculation of trig and astronomical tables.	Gottfried Wilhelm Liebniz	Germany	adding-machine	Math		
mortality-tables	1693	Mortality tables	He produced a life table showing the number of people surviving to any age from a cohort born the same year	Edmond Halley	England	probability	Math		
miners-friend	1698	Miner's friend	Miner's Friend invented to pump water out of flooded mines. Steam-powered air pump to help English coal mining, which was increasingly relied upon because of shortage of wood.	Thomas Savery	England	air-pump, coal-mining	Science		
scientific-voyages	1698	Scientific ocean voyages	First ocean voyage exclusively for science. Prior, voyages were taken for exploration, settlement or trade, with science as a side-effect. Halley's voyage measured magnetic declinations around the world, prepared first map of the world showing isodeclination, and accurate lat/long for ports.	Edmond Halley	England	india-water-route	Science		
gas-volume-temperature	1699	Gas volume temperature	Discovery that volume of gas proportional to temperature. A step towards gas laws, but not quite precise enough measurements yet.	Guillaume Amontons	France	air-pressure	Science		
binary-system	1700	Binary system	First use of non-decimal bases (2, 8, 12). A binary number is a number expressed in base 2, a method of mathematical expression which uses only two symbols: 0 and 1.	Gottfried Wilhelm Liebniz	Germany	decimal-notation	Math		
comet-orbits	1705	Comets' Orbits	Comet orbits remained mysterious. Halley claimed that comet orbits were elliptical, just very elongated. At the time, he was not taken seriously, but when he successfully predicted the return of a comet 50 years later, he was vindicated posthumously.	Edmund Halley	England	comet-distance,laws-motion	Space		
plant-nourishment	1705	Plant Nourishment	Discovery that air contributed to the nourishment of plants, not just water. Also the first to collect gas by bubbling them through water and trapping in an inverted vessel.	Stephen Hales	England	gas	Science:Chemistry		
carriage-springs	1706	Carriage springs	Up to now, passengers of all wheeled vehicles were jolted by every road imperfection. Springs helped to absorb some of them, at the expense of swaying.			paved-road,steel	Culture		
static-electricity-improved	1706	Improved static generator	Greatly improved upon Guericke's static electricity generator by constructing a glass sphere turned by a crank that used friction to generate electricity. Led to more experiments with static electricity.	Francis Hauksbee	England	static-electricity	Science:Physics		
pulse-watch	1707	Pulse watch	By now clocks could tell time to the nearest minute, so minute hands were added to clocks in the late 17th century. Floyer invented a device which when wound would run for exactly 60 seconds. This allowed to calculate heart rate for the first time!	John Floyer	England	pendulum-clock, hand-watch	Science:Biology		
coke-iron	1709	Coke and iron	Iron smelting required high temperatures previously only attainable by burning coal. But coal was becoming increasingly expensive as English forests continued to recede. Coke turns out to be even more effective for smelting iron and could be done at higher temperatures and larger scale.	Abraham Darby	England	mineralogy, steel	Science		
rifle	1710	Rifle	If a gun barrel is outfitted with spiral grooves ("rifled"), the bullet will spin around its axis and aim better, but this requires better gun construction. The new Pennsylvania rifle took twice as long to reload but had triple the range.		America	musket	War		
newcomen-steam-engine	1712	Newcomen steam engine	The demand for coal was increasing, so were coal mining operations, and the need to pump water out of mines. Newcomen invented a new type of steam engine that could use lower pressure steam and was safer than Savery's Miner's Friend. Still very inefficient.	Thomas Newcomen	England	coke-iron,miners-friend	General		
smallpox-vaccine	1713	Smallpox inoculation	Smallpox was highly contagious and deadly, and left survivors disfigured with pockmarks. But the disease didn't recur in the same person. In Turkey, some began deliberately spreading mild cases of the disease through pus, but this was fraught.	Mary Wortley Montagu	England	epilepsy	Science:Biology		
mercury-thermometer	1714	Mercury thermometer	Ferdinand II de Medici was first to invent a closed thermometer (immune from effects of pressure), but used water or alcohol which didn't expand evenly with temperature. Fahrenheit made the switch to Mercury to remedy this. The scale is named after him, which starts at 0 because it was the coldest temperature he could create.	Daniel Gabriel Fahrenheit	Germany	gas-volume-temperature,thermometer	Science:Physics		
solar-eclipse	1715	Solar eclipse	23 centuries prior, Thales predicted the eclipse which happened on April 22, 1715. Halley plotted the path of the eclipse and organized a number of observers to watch the eclipse.	Edmond Halley	England	eclipse, reflecting-telescope	Space		
stellar-motion	1718	Stellar motion	Up to now, it had been assumed that the stars were fixed in the sky. However, upon careful observation of bright stars Sirius, Procyon, and Arcturus, Halley found that they'd moved relative to the observations of Tycho.	Edmond Halley	England	supernova	Space		
easter-island	1722	Easter Island	Just 45 square miles in area, and 1200 miles from nearest land (a small island), likely the farthest point reached by the Polynesians. Roggeveen also discovered the Samoan Islands.	Jacob Roggeveen	Netherlands	around-earth	Geography		
longitude	1728	Ship’s chronometer	A ship's latitude (declination from equator) can be determined from the position of the sun or north star. But to measure longitude, you need to know time. Pendulums clocks don't work on swaying ships. Spurred by a large prize from the British government, Harrison built highly accurate sea clocks.	John Harrison	England	pendulum-clock,ocean-navigation	General		
aberration-light	1728	Aberration of light	Since heliocentricity, astronomers tried to see parallax in the stars as a result of the earth moving around the sun (186 million miles displacement). Rather than finding this parallax, Bradley ooked through a 212ft long telescope and found he had to tip the scope to catch the light as the earth moved, and unlocked a new way to calculate the speed of light.	James Bradley	England	comet-distance, speed-of-light	Science:Physics		
bering-strait	1728	Bering Strait	Peter I commissioned Bering, a Dutch navigator to explore far reaches of eastern Russia. He first mapped Kamchatka and then sailed north and reached the arctic ice without sighting land, continuing through the Bering Strait. This was definitive proof that North America was not part of Asia.	Vitus Jonassen Bering	Russia	new-world	Geography		
dentistry	1728	Dentistry	The first book entirely devoted to Dentistry was "Le chirurgien dentiste", discussing artificial dentures, crowns, how to treat cavities with metal fillings. Fauchard is considered the father of dentistry.	Pierre Fauchard	France	anatomy	Science:Biology		
electrical-conductance	1729	Electrical conductance	When he electrified a long glass tube, corks on both ends were electrified despite not having been touched. He tried this with other mediums, like 800ft long twine, and found that "electrical fluid" traveled through some mediums (conductors) better than others (insulators).	Stephen Gray	England	static-electricity-improved	Science:Physics		
achromatic-lens	1733	Achromatic lens	Different kinds of glass produce spectra of different widths. Flint glass (contains lead) produced wider spectrum than crown (regular) glass. By combining a convex lens out of crown, and a concave lens out of flint glass, he made a lens that magnified without producing colors.	Chester Moor Hall	England	light-spectrum, concave-lenses	Science:Physics		
blood-pressure	1733	Blood pressure	Hales went from studying the flow of sap in plants to the flow of blood in animals, measuring rates of flow in different parts of the circulatory system. He wrote Hemostaticks in 1733.	Stephen Hales	England	plant-nourishment	Science:Biology		
positive-negative-charge	1733	Positive and negative charge	While studying static electricity, du Fay found that if you electrify two objects using different means (one by glass rod -- "vitreous", one by resin rod -- "resinous"), you can have them attract one another. He suggested two different kinds of electrical fluids.	Charles-Francois de Cisternay du Fay	France	static-electricity-improved	Science:Physics		
flying-shuttle	1733	Flying shuttle	In weaving, a shuttle with yarn (weft) criss-crosses stationary yarn (warp), forming a lattice. Kay invented the flying shuttle, which enabled the weaver to pull the shuttle by means of two cords, greatly accelerating the process.	John Kay	England	laws-motion	Science:Physics		
shape-of-earth-confirmed	1735	Shape of the Earth	If the earth was the shape Newton suggested it was, a degree of latitude near the poles should be greater in mileage than at the equator. One explorer went to the equator (Peru), the other to the north pole (Lapland), confirming Newton. Sea level at equator is 13 miles farther from center than sea level at poles.	Charles Marie de la Condamine / Pierre-Louis Moreau de Maupertuis	France	shape-of-earth	Geography		
taxonomy	1735	Taxonomy	Linnaeus traveled over 4600 miles through northern Scandinavia, discovering hundreds of new plant species. He referred to each plant by genus and species (eg. Homo sapiens), the binomial nomenclature we still use today. And invented the taxonomy of classes, orders.	Carl von Linne	Sweden	plant-species-classified	Science:Biology		
trade-winds	1735	Trade winds	Hadley found that air near the equator had a faster west-to-east motion than air farther from it. This is due to the uneven heating of the earth due to the sun: hotter at the equator, cooler at poles, and the coriolis effect. Today this model is called the Hadley cell.	George Hadley	England	meteorological-map	Science:Physics		
mechanics	1736	Mechanics	Newton's principia featured geometric proofs of his claims. Euler wrote "Mechanics", and provided proofs using algebra and calculus.	Leonhard Euler	Switzerland	laws-motion	Science:Physics		
cobalt	1737	Cobalt	Miners were puzzled at some varieties of copper ore which didn't yield copper when smelted, and suspected foul play from kobolds, a type of mythical sprite. Upon closer examination, it was a new element (after Phosphorus), and Brandt named it cobalt. This was the first metal to be discovered not known to the medeival alchemists.	Georg Brandt	Sweden	phosphorus	Science:Chemistry		
kinetic-gases	1738	Kinetic theory of gases	Bernoulli modeled gas as many small particles in rapid movement, with temperature increasing their speed. As a result, increasing temperature increases volume (keeping pressure the same). Similarly, increasing temperature increases pressure if volume is kept fixed.	Daniel Bernoulli	Switzerland	boyles-law	Science:Physics		
rocky-mountains	1739	Rocky Mountains	The French continued their exploration of North America, with brother Pierre and Paul Mallet reaching Colorado and becoming the first Europeans to see the Rockies.	Pierre and Paul Mallet	France	america	Geography		
hydra	1740	Hydra	Trembley discovered the hydra, a small primitive organism resembling a plant, but actually an animal. It's tiny tentacles resembled the formidable Hydra destroyed by Hercules. And this hydra could regenerate parts that were cut off, as well as merge with other hydras to become one organism.	Abraham Trembley	Switzerland	plant-species-classified, animal-classification-improved	Science:Biology		
celsius	1742	Celsius scale	The Fahrenheit scale was commonly used, but phase changes were set at awkward quantities: melting at 32 F and boiling at 212 F. Celsius rationalized this by setting them to 0 and 100 respectively.	Anders Celsius	Sweden	mercury-thermometer	Science:Physics		
goldbach	1742	Goldbach’s conjecture	Working in Russia, German mathematician formulated a conjecture, still unproven: "Every even integer greater than 2 can be expressed as the sum of two primes."	Christian Goldbach	Russia	arab-numbers	Math		
franklin-stove	1742	Franklin stove	Fires in confined areas cause a lot of smoke, and chimneys allow hot air from the fire to escape immediately. Rather than creating a draft, Franklin devised a stove that would heat up the metal of the stove and let the air escape much more slowly. Initially it sold poorly, but David Rittenhouse made significant improvements.	Benjamin Franklin	America	fire,boyles-law	General		
transcendental-numbers	1744	Transcendental numbers	In mathematics, a transcendental number is a complex number that is not an algebraic number—that is, not a root (i.e., solution) of a nonzero polynomial equation with integer coefficients. The best-known transcendental numbers are π and e.	Leonhard Euler	Switzerland	imaginary-numbers	Math		
leyden-jar	1745	Leyden jar	A Leyden jar stores a high-voltage electric charge (from an external source) between electrical conductors on the inside and outside of a glass jar. This was an improvement over Hauksbee's glass sphere, and gave its inventor a major shock. The same device was independently invented by a German physicist von Kleist. Named after the inventor's University of Leiden.	Peter van Musschenbroek	Netherlands	static-electricity-improved	Science:Physics		
blood-and-iron	1745	Blood and iron	The chemical composition of blood was completely unknown until an experimenter fed iron to dogs to see if the iron would be incorporated in the blood. As a control, he checked the composition of regular dog blood and found that it already contained iron, specifically in red blood cells.	Vincenzo Menghini	Italy	red-blood-cells	Science:Biology		
scurvy	1747	Scurvy	More men were disabled by scurvy on long sea voyages than by any other cause. Lind served in the navy and knew how monotonous the diet was, and also knew that scurvy also appeared in other such environments (prisons, under siege). He studied the effect of fruits on scurvy and found citrus provided great relief.	James Lind	England	india-water-route	Science:Biology		
osmosis	1748	Osmosis	Intuitively, if a liquid can soak through a solid, it should be able to seep through in any direction. Nollet found that you can have semipermeable membranes that allow one type of liquid but not another. Thus enables unidirectional fluid flow.	Jean Antoine Nollet	France	hydrostatics	Science:Physics		
platinum	1749	Platinum	Existence of platnium was generally unknown since it is as rare as gold, but lacks its ostentatious beauty. It was scientifically studied by Ulloa, who found it to be denser than gold, higher melting and less reactive.	Antonio de Ulloa	Spain	steel	Science:Chemistry		
biological-evolution	1749	Biological evolution	Buffon was the first to speculate openly about evolution in a book called "Natural History", where he imagined an evolution in reverse: apes as degenerate humans, donkeys as degenerate horses, jackals as degenerate wolves. He was wrong, but it implied that species could change over time.	Louis Leclerc de Buffon	France	taxonomy	Science:Biology		
formation-earth	1749	Formation of the Earth	Buffon thought that there may have been a natural (not God) cause to Earth's creation, such as the collision of the Sun with a comet. He also estimated Earth's age by calculating how long it would take an Earth-sized object to cool from the temperature of the sun. His estimates of 75,000 years were wrong, but this was much greater than 6000.	Louis Leclerc de Buffon	France	comet-distance,biblical-age-of-earth	Space		
nickel	1751	Nickel	Cronstedt studied under Brandt, who isolated cobalt, and isolated another metal from ore that was neither copper nor cobalt. Colloquially known as kupfernickel by miners, he dubbed it nickel for short. Turned out nickel was also magnetic but weaker than iron.	Axel Fredrick Cronstedt	Sweden	cobalt	Science:Chemistry		
encyclopedia	1751	Encyclopedia	Diderot compiled a multivolume summary of all knowledge for the general public, with alphabetical entries. This was fitting at a time that called itself the Age of Reason.	Denis Diderot	France	printing-press	General		
lightning-rod	1752	Lightning rod	Franklin coined the terms "positive" and "negative" charge, rejecting du Fay's notion of two kinds of electrical fluids. He imagined that during a lightning strike, the earth and sky form a gigantic Leyden jar and flew a kite in a thunderstorm and found that the silk thread showed signs of electrical charge. He was also able to charge a real Leyden jar using this energy, proving that the two electricities were identical. Franklin generalized this idea and built tall metal spires on top of buildings, which averted lightning-induced fires, the first mitigation of natural disaster through science.	Benjamin Franklin	America	leyden-jar,positive-negative-charge	Science:Physics		
digestion	1752	Digestion	Up to now, there was debate whether digestion was chemical or mechanical in nature. In an experiment on hawks and dogs, Reaumur showed that it had to be both. Thus in addition to behaving like a mechanical machine, the body also has a chemical aspect.	Rene-Antoine Ferchault de Reaumur	France	muscles-bones, metabolism	Science:Biology		
earth-heat	1752	Earth and heat	Most Europeans up to now attributed changes to the Earth's surface to forces of water (called Neptunists). However Guettard challenged this after observing that rocks experienced great changes in temperature in the past.	Etienne Guettard	France	water-element,formation-earth	Science:Geology		
carbon-dioxide	1754	Carbon dioxide	Up to now, carbon dioxide had only been detected as a product of combustion or fermentation. Black described how to create a gas by heating limestone, calling it "fixed air" because it could be fixed back into a solid by combining with lime. He also found that calcium oxide turned into calcium carbonate naturally in the air, so there must be carbon dioxide in the atmosphere.	Joseph Black	Scotland	gas	Science:Chemistry		
galaxy	1755	Galaxy	Are the stars in the sky uniformly distributed, or are they contained in some particular shape? Based on the Milky Way, it seems like the latter. Kant suggested that the Sun was one of many stars in a lens-like shape, and that the Milky Way was what we see when we look along the long axis of the lens. He suggested that there were other galaxies, but this all remained unproven.	Immanuel Kant	Germany	reflecting-telescope	Space		
land-bridges	1756	Land bridges	It was so far assumed that the shape of the continents was fixed and eternal, but Desmarest pointed out similarities of the shores across the English channel, suggesting that the two land masses drifted apart over time. He incorrectly believed these changes were caused by earthquakes.	Nicolas Desmarest	France	sea-navigation	Science:Geology		
halley-comet	1758	Halley's comet	Halley predicted that the comet of 1682 would return in 1758. Amateur astronomer spotted it on Dec 25, 1758. Retrospectively, it turned out that this was the same comet seen by William the Conqueror, and the same one painted by Giotto.	Johann Georg Palitzsch	England	comet-orbits	Space		
flame-tests	1758	Flame tests	It was a difficult task for chemists to distinguish one substance from another. For example, sodium and potassium look similar, but they burn yellow and violet respectively. Further improving the process, Cronstedt introduced a blowpipe which directed a jet of air, making more granular temperature possible.	Andreas Sigismund Marggraf	Germany	nickel	Science:Chemistry		
embryology	1759	Embryology	At the time, it was customary to think that seeds, eggs, pollen, sperm, etc, had miniature organisms in them that grew. Some thought that this was recursive! Wolff found that specialized organs developed out of unspecialized tissue.	Kaspar Friedrich Wolff	Germany	plant-sexuality	Science:Biology		
earthquakes	1760	Earthquakes	Early theories attributed earthquakes to relentless gods or pent-up air underground. The Lisbon quake of 1755 forced more scientifict hinking. Mitchell noted that quakes often correlated to volcanic areas, thought underground water was boiled by volcanic heat, and caused circular waves from the epicenter. Mitchell is considered founder of seismology.	John Mitchell	England	earth-heat	Science:Geology		
heat-capacity	1760	Heat capacity	Heat was considered a special fluid which filled all substances equally based on weight. Black showed that when heating equal weights of mercury and water, mercury's temperature went up twice as fast as the water temperature did.	Joseph Black	Scotland	five-elements, mercury-thermometer	Science:Chemistry		
pathology	1760	Pathology	Morgagni published a list of 640 postmortems fully detailing the lives of his patience, development of disease and manner of death from the anatomical point of view.	Giovanni Battista Morgagni	Italy	cadaver	Science:Biology		
venus-atmosphere	1761	Venus’s atmosphere	Venus didn't appear to have any visual features except when passing directly between sun and earth (called transit of Venus). In an attempt to study Venus' parallax, an expedition was setup to observe it from many different places on earth. This effort failed because the time when venus entered and left the solar shadow could not be determined accurately. Lomonosov suggested this might be due to fuzziness caused by an atmosphere, and was right!	Mikhail Vasilievich Lomonosov	Russia	reflecting-telescope	Space		
percussion	1761	Medical percussion	Percussion is a method of tapping on a surface to determine the underlying structures, and is used in clinical examinations to assess the condition of the thorax or abdomen.	Leopold Auenbrugger von Auenbrug	Austria	muscles-bones	Science		
latent-heat	1762	Latent heat	Discovery that heat can be absorbed by ice without raising its temperature, leading to the concept of latent heat.	Joseph Black	Scotland	heat-capacity	Science		
pollination	1763	Pollination	Identification of the sexual reproduction process in plants and the role of wind and animals in pollination.	Josef Gottlieb Kölreuter	Germany	plant-sexuality	Science		
steam-engine	1764	Steam engine	James Watt repaired and improved a Newcomen steam engine, leading to the first reasonably efficient steam engine. He devised a method for keeping one chamber always hot and another always cold, utilizing latent heat more efficiently, which paved the way for the first truly efficient steam engine.	James Watt	Scotland	latent-heat, newcomen-steam-engine	Science		
plutonism	1765	Plutonism	Nicolas Desmarest suggested that valleys were formed by streams that ran through them, influenced by the heat from volcanic activity.	Nicolas Desmarest	France	earth-heat	Science		
hydrogen	1766	Hydrogen	Demarest discovered hydrogen (which he called 'fire air') through its properties, specifically its high flammability and low density, being one-fourteenth the density of air. His detailed studies on hydrogen's properties led to its eventual recognition as a distinct element.	Henry Cavendish	England	chemical-elements	Science		
experiments-on-nerves	1766	Experiments on nerves	Albrecht von Haller conducted experiments that led to the conclusion of nerves being responsible for muscle movement, not a fluid transmitted through nerves. Haller’s work laid the foundations for modern neurology.	Albrecht von Haller	Switzerland	cadaver	Science		
no-spontaneous-generation-redux	1768	Definitely no spontaneous generation	Lazzaro Spallanzani's experiment further challenged the idea of spontaneous generation by showing no new microorganisms appeared in broth after thoroughly boiling and sealing it.	Lazzaro Spallanzani	Italy	no-spontaneous-generation	Science		
carbonated-water	1768	Carbonated water	Joseph Priestley discovered how to infuse water with carbon dioxide to create carbonated water. This discovery led to the foundation of the soft drink industry.	Joseph Priestley	England	fermentation, carbon-dioxide	General		
quantitative-chemistry	1769	Quantitative chemistry	Lavoisier boiled water for 101 days, observing that sediment appeared and the water did not change its weight, refuting the Greek theory that water could be converted into earth. His precise, quantitative method provided clearer understanding and marked a significant advance in the field of chemistry.	Antoine-Laurent Lavoisier	France	latent-heat	Science		
spinning-frame	1769	Spinning frame	The spinning frame was a mechanical device that could produce strong and hard cotton threads quickly enough to meet the demands of the booming textile industry. His invention made cotton manufacturing faster and more cost-effective, requiring relatively unskilled workers and little money	Richard Arkwright	England	mechanics, flying-shuttle	Design		
nile-river	1770	Nile river	Bruce journeyed upstream to Khartoum in Sudan where he determined the confluence of the White Nile from the southwest and the Blue Nile from the southeast, identifying its source to Ethiopia, which was previously unknown to European explorers.	James Bruce	Scotland		Geography		
gulf-stream	1770	Gulf stream	Franklin, after traveling from America to Europe multiple times, became aware of the difference in eastward and westward sailing times due to ocean currents. He produced a map of the Gulf Stream, beginning of the scientific study of ocean currents.	Benjamin Franklin	England	ocean-navigation	Geography		
soluble-gases	1770	Soluble gases	Priestley became the first person to infuse gases such as ammonia, sulfur dioxide, and hydrogen chloride into an upside-down mercury-filled vessel, allowing for the collection of gases that could not be captured through water because they dissolve in water.	Joseph Priestley	England	gas	Science		
nebulas	1771	Nebulas	Initially frustrated by his findings of fuzzy objects that were not comets but rather "nebulosities" fixed in space, he compiled a list of these objects. This list of nebulas includes many star clusters and distant galaxies.	Charles Messier	France	reflecting-telescope, andromeda-nebula	Science		
plants-and-carbon-dioxide	1771	Plants and carbon dioxide	Carbon dioxide was understood to support the respiration of plants, with the notable experiment involving a plant surviving in carbon dioxide-rich air.	Joseph Priestley	England	carbon-dioxide	Science		
combustion-and-phlogiston-theory-refinement	1772	Combustion and phlogiston	Chemists of the time thought combustible items contained a substance called phlogiston, from a Greek word meaning 'to set on fire.' Lavoisier began weighing objects in closed volumes and evaluating the volume and weight before and after combustion, refuting the idea that phlogiston was lost and moving towards the understanding of oxygen and its role in combustion.	Antoine-Laurent de Lavoisier	France	five-elements	Science		
diamond	1772	Diamond	Antoine Lavoisier burned diamond and observed it in a closed vessel, proving that it was a form of Carbon. He indicated that when it grew hot enough, it simply disappeared, contributing to disprove the phlogiston theory.	Antoine Lavoisier	France	combustion-and-phlogiston-theory-refinement	Science		
nitrogen	1772	Nitrogen	Daniel Rutherford asked a question regarding what happens if a candle is burned until no further burning air is possible, which led him to discover a new gas eventually called nitrogen. This gas does not support combustion or sustain life, showing it was neither combustible like oxygen nor able to support life like carbon dioxide.	Daniel Rutherford	England	carbon-dioxide, combustion-and-phlogiston-theory-refinement	Science		
antarctic-circle	1773	Antarctic Circle	The Antarctic Circle was first crossed at sea by Captain James Cook.	James Cook	England	ocean-navigation	Geography		
bacilli	1773	Bacilli	Bacteria could be seen more distinctly than before and categorized by their shapes. Microorganisms were classified into genera and species as per the methods of Linnaeus, particularly identifying rod-shaped bacteria as 'bacilli', spiral-shaped ones as 'spirilla'.	Otto Friedrich Müller	Denmark	microscope	Science		
oxygen	1774	Oxygen	Priestley discovered a gas he called 'dephlogisticated air' and eventually oxygen. It allowed combustibles to burn more brilliantly and rapidly than in ordinary air and seemed to have an invigorating effect when inhaled.	Joseph Priestley	England	gas	Science		
chlorine-oxygen	1774	Chlorine oxygen	Scheele isolated the gas chlorine, which was colorless and greenish-yellow in color, named from the Greek word for 'green'. However, Scheele thought it was a combination of some substance with oxygen and did not recognize it as an element, which prevented him from obtaining the credit for its discovery until about thirty years later.	Carl Wilhelm Scheele	Sweden	oxygen	Science		
mesmerism	1774	Mesmerism	Messmer's waved magnets over his patients while reciting prayers, claiming the ability to cure various diseases. Though his methods were discredited, the mind's effect on the body was intriguing and his experiments became the basis of modern hypnosis.	Franz Anton Mesmer	Germany	pathology	Culture		
digitalis	1775	Digitalis	An English physician discovered the medicinal properties of the foxglove plant for heart conditions. The substance obtained was key in treating edema caused by a failing heart, reigniting interest in plant-based medicines.	William Withering	England	medicinal-plants	Science		
races	1776	Races	A classification of the human species into five races was proposed, lead by descriptive criteria such as skin color and physical features without implying any important differences between these groups.	Johann Friedrich Blumenbach	Germany		Culture		
torsion-balance	1777	Torsion balance	The torsion balance uses a fiber or wire's ability to twist under a force to measure weight, providing a way to more precisely measure weight.	Charles-Augustin de Coulomb	France	mechanics	Science		
molybdenum	1778	Molybdenum	Scheele discovered molybdenum, a new chemical element, using methods he had previously applied to isolate another element, manganese.	Scheele	Sweden	chemical-elements	Science		
hawaiian-islands	1778	Hawaiian Islands	Captain Cook explored the Pacific coast of North America and later claimed the Hawaiian Islands for Britain, naming them the Sandwich Islands. This discovery extended British claims in the Pacific region.	James Cook	England	pacific-ocean	Geography		
fertilization	1779	Fertilization	It was discovered that fertilization in humans involved male sperms physically contacting the eggs within the female ovaries, contrary to the prior belief that males provided the 'seed' and females were simply the soil. This newfound understanding clarified that reproduction was a joint process involving contributions from both the mother and father.	Lazzaro Spallanzani	Italy	no-spontaneous-generation	Science		
photosynthesis	1779	Photosynthesis	The process by which plants convert carbon dioxide and water into oxygen and glucose, using sunlight as the energy source, was further elucidated. This essential plant function that produces not only oxygen but also complex organic molecules.	Jan Ingenhousz	Netherlands	plants-and-carbon-dioxide	Science		
electrical-stimulation	1780	Electrical stimulation	This invention demonstrated that the muscles of dissected frog legs twitched when struck by a spark from a Leyden jar, suggesting that muscles were activated by electrical impulses. This foundational experiment led to significant insights into bioelectric phenomena in living tissues and laid the foundation for electrophysiology.	Luigi Galvani	Italy	lightning-rod	Science		
uranus	1781	Uranus	The discovery of Uranus expanded our knowledge of the solar system by revealing a seventh planet. This celestial body was initially mistaken for a comet but was identified due to its distinct circular and sharp-edged appearance.	William Herschel	England	telescope	Space		
binary-stars	1781	Binary stars	Two stars sometimes orbit each other due to gravitational forces. The discovery contradicted the earlier belief that close pairs of stars were merely coincidentally aligned, showing that they could in fact be gravitationally bound and move in relation to each other.	William Herschel	England	universal-gravitation	Space		
crystallography	1781	Crystallography	Modern crystallography were established through the discovery that crystal shapes are built from unit cells that stack in a regular pattern spontaneously. 	René-Just Haüy	France	microscope	Science		
mars-axial-tilt	1781	Axial inclination of mars	The axial inclination of Mars was identified, illustrating that like Earth, Mars has a tilted axis which causes seasonal variations similar to those on Earth. The discovery contributed to the understanding of planetary motions and their effects on climate.	William Herschel	England	planet-rotations	Space		
improved-steam-engine	1781	Improved steam engine	Watt's enhancements increased efficiency and power output by recycling steam, maintaining constant cylinder pressure, and enabling use of the engine for driving machinery, which was a pivotal development in the industrial revolution.	James Watt	England	steam-engine	General		
